source_text_sample	source_hash	occurrences	surface_count	surfaces	locations	manual_translations
"[align = ""center""]Notify[br][br]Server merge coming soon[br][br]"	7623764f326c	2	2	lang0,taiwan	taiwan:local_data.dat:DST_LOBBY_DEL_SERV_COMBINE_AFTER_CHARACTER | lang0:lang0.pak:DST_LOBBY_DEL_SERV_COMBINE_AFTER_CHARACTER	
"[br][align = ""center""][font size = ""10"" color=""f4d762""]DWC Admission[/font][br][br][font size = ""10"" color=""269eff""]You can play %d more times today[/font][br][br][font size = ""10"" color=""f4d762""]Would you like to play?[/font][br]"	9c0e26f4b82e	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_ENTER_QUESTION | lang0:lang0.pak:DST_DWC_ENTER_QUESTION	
    [finished]	a3de8dd0574d	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_SCENARIO_CLEAR | lang0:lang0.pak:DST_DWC_SCENARIO_CLEAR	
"[font size = ""9"" color=""269eff""]+12 Armor Coupon Lv11 [2 Days][/font][font size = ""9"" color=""#323232""]Upgrade with coupon only works on non-upgraded item and can't fail. The effect can only be used for certain time.[/font]"	e4cae5393bf3	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_DEFENSEINTENSIFY | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_DEFENSEINTENSIFY	
"[font size = ""9"" color=""269eff""]12 Weapon Coupon Lv11[2 Days][/font][font size = ""9"" color=""#323232""]Upgrade with coupon only works on non upgraded item and can't fail. The effect can only be used for certain time.[/font]"	5f3ec1e3ae9b	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_WEAPONINTENSIFY | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_WEAPONINTENSIFY	
"[font size = ""9"" color=""269eff""]EV EP Recovery Potion [/font][font size = ""9"" color=""#323232""]The EP will be filled automatically. When EP is more than 30% of the EP will be automatically restored to 100%. The maximum amount is 100000.[/font]"	10bb8213c577	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_AUTOMATICENERGY | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_AUTOMATICENERGY	
"[font size = ""9"" color=""269eff""]EV Fly Scroll[/font][font size = ""9"" color=""#323232""]Press the spacebar twice, you can levitate then. The total duration is 3 minutes more information, please refer to Help (H).[/font]"	8b04a4060605	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_SKYSKILL | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_SKYSKILL	
"[font size = ""9"" color=""269eff""]EV Life Pill X[/font][font size = ""9"" color=""#323232""]Capsule's proud masterpiece.[/font]"	bbede3334395	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_LIFE | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_LIFE	
"[font size = ""9"" color=""269eff""]EV Liquid Fuel S2 [7 Days][/font][font size = ""9"" color=""#323232""]Capsule fuel S2,developed by Capsule Corp.[/font]"	754bab48e572	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_VEHICLEFUEL | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_VEHICLEFUEL	
"[font size = ""9"" color=""269eff""]EV Lower EXP Boost[2 Hours][/font][font size = ""9"" color=""#323232""]You may acquire additional experience points to 50%, only available at Lv 1 Lv 30. It can be used only for 2 hours. [/font]"	baf3805a31df	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_EXP | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_EXP	
"[font size = ""9"" color=""269eff""]EV LP Recovery Potion[/font][font size = ""9"" color=""#323232""]The LP will be filled automatically. LP when LP is higher than 30% are automatically restored to 100%. The maximum amount is 100000.[/font]"	8d9926ef1e9a	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_AUTOMATICLIFE | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_AUTOMATICLIFE	
"[font size = ""9"" color=""269eff""]EV Magic Pill X[/font][font size = ""9"" color=""#323232""]Capsule's proud masterpiece.[/font]"	176f3d69f9c8	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_ENERGY | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_ENERGY	
"[font size = ""9"" color=""269eff""]EV movement speed increase item[/font][font size = ""9"" color=""#323232""]It's an item that give you speed. The speed is increased 20% for 10 minutes.[/font]"	841b19d421e0	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_SPEEDINCREASE | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_SPEEDINCREASE	
"[font size = ""9"" color=""269eff""]EV Popo Pieces[/font][font size = ""9"" color=""#323232""]Is an item that can only revive you in place you died. When a character becomes faint, you can choose whether or not to use.[/font]"	89edb91df700	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_POPOPIECE | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_POPOPIECE	
"[font size = ""9"" color=""269eff""]EV Tele Popo [/font][font size = ""9"" color=""#323232""]The item that is able to move you to popo stone.[/font]"	fb307e4de876	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_TELEPOPOP | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_TELEPOPOP	
"[font size = ""9"" color=""269eff""]Flying Jet Squirrel [7 Days][/font][font size = ""9"" color=""#323232""] Pressing the ESC button, you can get off. Note that you can use for 7 days.[/font]"	47305ebb9b65	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_VEHICLE | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_VEHICLE	
"[font size = ""9"" color=""269eff""]Popo Jewelry Box Lv11[/font][font size = ""9"" color=""#323232""]To use need Lv 11 box contains the appropriate accessories. When you right-click on the ring, earrings, necklace comes out.[/font]"	4cf6352ea397	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_POPOJEWELRYBOX | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_POPOJEWELRYBOX	
"[font size = ""9"" color=""269eff""]Rating Box[/font][font size = ""9"" color=""#323232""]Gift box item.[br]Open the capsule kit (shortcut I), use the mouse to right-click the ratings box.[/font]"	6f6588619478	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_ITEMBOX_LVTWO | lang0:lang0.pak:DST_POPUP_ITEMBOX_LVTWO	
"[font size = ""9"" color=""269eff""]Red capsule box N20[15 Days][/font][font size = ""9"" color=""#323232""]The most advanced type of capsulebox. Expand the storage space to 20 slots.[/font]"	16cb05feff3f	2	2	lang0,taiwan	taiwan:local_data.dat:DST_POPUP_CONTENT_ITEM_CAPSULEKIT | lang0:lang0.pak:DST_POPUP_CONTENT_ITEM_CAPSULEKIT	
[locked]	9275a3c4b142	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_SCENARIO_LOCK | lang0:lang0.pak:DST_DWC_SCENARIO_LOCK	
[open]	1da2a3b88bad	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_SCENARIO_OPEN | lang0:lang0.pak:DST_DWC_SCENARIO_OPEN	
[Usable while in Buuhan form]	cab6236a5e67	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_BOO | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_BOO	[布欧悟饭形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_BOO] | [布欧悟饭形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_BOO]
[Usable while in Buuhan Skin 2 form]	c61386085fdc	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BUUHAN_SKIN2 | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BUUHAN_SKIN2	[布欧悟饭皮肤2形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BUUHAN_SKIN2] | [布欧悟饭皮肤2形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BUUHAN_SKIN2]
[Usable while in Buuhan Skin form]	bfc2a9ef0db4	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BUUHAN_SKIN | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BUUHAN_SKIN	[布欧悟饭皮肤形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BUUHAN_SKIN] | [布欧悟饭皮肤形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BUUHAN_SKIN]
[Usable while in Dark Namek form]	4b624c9ee171	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_DARK_NAMEK | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_DARK_NAMEK	[黑暗那美克星人形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_DARK_NAMEK] | [黑暗那美克星人形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_DARK_NAMEK]
[Usable while in Evil Namek form]	14c6e1e89291	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_EVIL_NAMEK | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_EVIL_NAMEK	[邪恶那美克星人形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_EVIL_NAMEK] | [邪恶那美克星人形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_EVIL_NAMEK]
[Usable while in Gotenks Boo Fighter form]	99e115f30a5e	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GOTENKS_BOO_FIS | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GOTENKS_BOO_FIS	[悟天克斯布欧格斗形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GOTENKS_BOO_FIS] | [悟天克斯布欧格斗形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GOTENKS_BOO_FIS]
[Usable while in Gotenks Boo Mystic form]	f467c3d5e114	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GOTENKS_BOO_MAG | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GOTENKS_BOO_MAG	[悟天克斯布欧秘术形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GOTENKS_BOO_MAG] | [悟天克斯布欧秘术形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GOTENKS_BOO_MAG]
[Usable while in Great Orange form]	f39c48446fa9	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GREAT_ORANGE | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GREAT_ORANGE	[巨大橙色形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GREAT_ORANGE] | [巨大橙色形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GREAT_ORANGE]
[Usable while in Mystic Majin form]	4ffefebb139f	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_MYSTIC_MAJIN | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_MYSTIC_MAJIN	[神秘魔人形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_MYSTIC_MAJIN] | [神秘魔人形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_MYSTIC_MAJIN]
[Usable while in Oozaru form]	c4fa5cae2ec3	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BIG_MONKEY | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BIG_MONKEY	[大猿形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BIG_MONKEY] | [大猿形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BIG_MONKEY]
[Usable while in Orange Namek form]	d94a9ecc5273	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_KING_NAMEK | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_KING_NAMEK	[橙色那美克星人形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_KING_NAMEK] | [橙色那美克星人形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_KING_NAMEK]
[Usable while in Super Boo 2 form]	b3b5f2c1efd7	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_BOO2 | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_BOO2	[超级布欧2形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_BOO2] | [超级布欧2形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_BOO2]
[Usable while in Super Boo form]	36d4fbaeb75b	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_EVIL_BOO | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_EVIL_BOO	[超级布欧形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_EVIL_BOO] | [超级布欧形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_EVIL_BOO]
[Usable while in Super Saiyan 2 form]	2aa26571b6bc	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN2 | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN2	[超级赛亚人2形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN2] | [超级赛亚人2形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN2]
[Usable while in Super Saiyan 3 form]	c44d4ff7e569	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN33 | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN33	[超级赛亚人3形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN33] | [超级赛亚人3形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN33]
[Usable while in Super Saiyan 4 form]	9adec24fa5e3	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN4 | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN4	[超级赛亚人4形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN4] | [超级赛亚人4形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN4]
[Usable while in Super Saiyan Blue form]	36ea8afeaf22	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANBLUE | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANBLUE	[超级赛亚人蓝色形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANBLUE] | [超级赛亚人蓝色形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANBLUE]
[Usable while in Super Saiyan God form]	7b440a63a68a	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN3 | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN3	[超级赛亚人之神形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN3] | [超级赛亚人之神形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN3]
[Usable while in Super Saiyan Legendary form]	529e78dc0d52	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANL | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANL	[传说超级赛亚人形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANL] | [传说超级赛亚人形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANL]
[Usable while in Super Saiyan Rose form]	b723510b5e20	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANROSE | lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANROSE	[超级赛亚人桃红形态下可使用] [taiwan:local_data.dat:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANROSE] | [超级赛亚人桃红形态下可使用] [lang0:lang0.pak:DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANROSE]
A	6dcd4ce23d88	2	2	lang0,taiwan	taiwan:local_data.dat:DST_CHAT_IME_ENG | lang0:lang0.pak:DST_CHAT_IME_ENG	
A North Kaioh Tecnique.	943b47941bae	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:7:101060301:0 | tbl:tbl1.pak:0x017F103D	
A Very Beatiful Cat Ears	d5fa39d5c1ca	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70002260:0 | tbl:tbl1.pak:0x01629415	
Accessory	962403f6dae8	2	2	lang0,tbl	lang0:lang0.pak:DST_MARKET_ACCESSORY | tbl:tbl1.pak:0x01863461	饰品 [lang0:lang0.pak:DST_MARKET_ACCESSORY]
Accessory 1 - Mask	c6930fcf5557	2	2	lang0,taiwan	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_ACCESSORY1 | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_ACCESSORY1	配件 1 - 面具 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_ACCESSORY1]
Accessory 2 - Richness	743ac3dc0393	2	2	lang0,taiwan	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_ACCESSORY2 | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_ACCESSORY2	饰品2 - 富饶 [taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_ACCESSORY2] | 配件 2 - 光环 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_ACCESSORY2]
Accessory 3 - Backpack	39e805493be9	2	2	lang0,taiwan	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_ACCESSORY3 | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_ACCESSORY3	配件 3 - 背饰 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_ACCESSORY3]
Accessory 4 - Tail	9017341a06b0	2	2	lang0,taiwan	taiwan:local_data.dat:DST_EQUIP_SLOT_TAIL | lang0:lang0.pak:DST_EQUIP_SLOT_TAIL	配件 4 - 尾巴 [lang0:lang0.pak:DST_EQUIP_SLOT_TAIL]
Acessory 4 - Tail	3a804480de0f	2	2	lang0,taiwan	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_TAIL | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_TAIL	配件 4 - 尾巴 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_TAIL]
Action Skills	64d7a97e565b	2	2	lang0,tbl	lang0:lang0.pak:DST_SKILL_TAB_ACTION_SKILL | tbl:tbl1.pak:0x018635E7	动作技能 [lang0:lang0.pak:DST_SKILL_TAB_ACTION_SKILL]
Air mode failed.	47ffeca0a068	2	2	lang0,taiwan	taiwan:local_sync_data.dat:AIR_FAIL | lang0:lang0.pak:AIR_FAIL	
Alien Engineer	e52df17fe207	2	2	lang0,tbl	lang0:lang0.pak:DST_JOB_ALIEN_ENGINEER | tbl:tbl1.pak:0x01715364	异星工程师 [tbl:tbl1.pak:0x01715364]
Already joined Scramble	87cedf9190fb	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_ALREADY_JOIN | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_ALREADY_JOIN	
Android	1928f95c598b	2	2	lang0,tbl	lang0:lang0.pak:DST_MOB_TYPE_ANDROID | tbl:tbl1.pak:0x0186210D	
Android 21 Outfit	184907f66a1a	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000238:0 | tbl:tbl1.pak:0x014B4B7D	人造人21套装 [taiwan:table_text_all_data.rdf:3:7000238:0]
App.	249a91d21e3d	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_CONFIRM_OK | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_CONFIRM_OK	
Appearance Change	330d80e39197	2	2	lang0,taiwan	taiwan:local_data.dat:DST_LOBBY_APPEARANCE_CHANGE | lang0:lang0.pak:DST_LOBBY_APPEARANCE_CHANGE	
Apply Only Effect	51c95289c002	2	2	lang0,taiwan	taiwan:local_data.dat:DST_OPTION_OKEFFECT | lang0:lang0.pak:DST_OPTION_OKEFFECT	仅应用效果 [taiwan:local_data.dat:DST_OPTION_OKEFFECT] | 仅应用效果 [lang0:lang0.pak:DST_OPTION_OKEFFECT]
Aqua Outfit	fe0bd07c6fcc	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000217:0 | tbl:tbl1.pak:0x014B4961	阿库娅套装 [taiwan:table_text_all_data.rdf:3:7000217:0]
Aria Waterfall Cave	f401b5262787	2	2	lang0,tbl	lang0:lang0.pak:DST_CITYMAP_WATERFALL | tbl:tbl1.pak:0x0180CFA2	
Armor Merchant	dae9f09ed7db	2	2	lang0,tbl	lang0:lang0.pak:DST_JOB_ARMOR_MERCHANT | tbl:tbl1.pak:0x01714AAC	
Attack on Titan Dogi	a7dec3b82dd9	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000223:0 | tbl:tbl1.pak:0x014B4997	
Backpack	0ccf90eb09d6	2	2	lang0,tbl	lang0:lang0.pak:DST_BACKDST_PACK | tbl:tbl1.pak:0x01863379	
Battle Dragon Ball	bd9c68336614	2	2	lang0,tbl	lang0:lang0.pak:DST_REVERTED_BATTLE_DRAGONBALL | tbl:tbl1.pak:0x013487D5	
Battle Dragon Ball have been compensated	166ba1b9cafd	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRGONBALL_SCRAMBLE_SEASON_REFRESH_NFY | lang0:lang0.pak:DST_DRGONBALL_SCRAMBLE_SEASON_REFRESH_NFY	
Battle Dragon Ball turned into a stone, you won't receive compensation	032bb17b22cd	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_SEASON_REWARD_COOLTIME_NFY | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_SEASON_REWARD_COOLTIME_NFY	
Battle Points	ee29811b5557	2	2	lang0,tbl	lang0:lang0.pak:DST_BUDOKAI_INDI_REQ_RANKING | tbl:tbl1.pak:0x018686C5	
Bazooka	1a6715b17711	2	2	lang0,tbl	lang0:lang0.pak:DST_BAZOOKA | tbl:tbl1.pak:0x01863365	
Black Destruction Outfit	bff2da75199a	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111701122:0 | tbl:tbl1.pak:0x0168B59F	
Black Stone	683be4a07d7d	2	2	lang0,tbl	lang0:lang0.pak:DST_MARKET_BLACK_STONE | tbl:tbl1.pak:0x013B6213	黑石 [lang0:lang0.pak:DST_MARKET_BLACK_STONE]
Booney Dogi	7cc6ebc08ba9	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000228:0 | tbl:tbl1.pak:0x014B4A47	
Booney Nika Dogi	866e8c2e6285	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000229:0 | tbl:tbl1.pak:0x014B4A63	
Booney Nika Hair	6d1cc350f5d0	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000227:0 | tbl:tbl1.pak:0x014B4A21	
Boss Script 1	443d32d64be4	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:3701220:0 | tbl:tbl1.pak:0x0172DD60	
Boss Script 2	69d3210a6a2d	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:3701221:0 | tbl:tbl1.pak:0x0172DD80	
Building	9d914bfcf1c5	2	2	lang0,tbl	lang0:lang0.pak:DST_MOB_TYPE_BUILDING | tbl:tbl1.pak:0x016CA759	
Bus Routes	62aa4136f3e7	2	2	lang0,tbl	lang0:lang0.pak:DST_WORLDMAP_BUS_ROUTE_PAINT | tbl:tbl1.pak:0x01862C93	
